bat_time,info_date,ifrs_date,stock_code,stock_country,ifrs_type,vesting_type,vesting_type_detail,stock_name,stock_revenue,operating_income,net_income,operating_income_ratio,income_ratio,roe,debt_ratio,quick_ratio,reserve_ratio,stock_eps,stock_per,stock_bps,stock_pbr,dividend_per_share,dividend_yield_ratio,dividend_payout_ratio,etc1_string,etc2_string,etc3_string,etc1_int,etc2_int,etc3_int
48:08.4,00:00.0,00:00.0,95570,1,1,1,0,AJ네트웍스,10455,-212,373,-2.03,3.56,0.39,423.61,13.45,561.82,24,186.12,6131,0.73,100,2.22,413.15,,,,0,0,0
48:08.4,00:00.0,00:00.0,95570,1,1,1,0,AJ네트웍스,10003,156,421,1.57,4.21,15.18,419.16,42.11,639.52,982,5.06,6802,0.73,300,6.04,30.56,,,,0,0,0
48:08.4,00:00.0,00:00.0,95570,1,1,1,0,AJ네트웍스,10171,230,-33,2.26,-0.33,-1.3,451.43,29.75,600.62,-84,-55.11,6261,0.74,210,4.55,-250.79,,,,0,0,0
48:08.4,00:00.0,00:00.0,95570,1,1,1,0,AJ네트웍스,,,,,,,,,,,,,,,,,,,,0,0,0
48:08.4,00:00.0,00:00.0,95570,1,2,1,0,AJ네트웍스,3064,87,29,2.83,0.96,-13.36,429.94,35.97,619.38,74,-2.93,6702,0.43,,,,,,,0,0,0
48:08.4,00:00.0,00:00.0,95570,1,2,1,0,AJ네트웍스,3128,126,-75,4.04,-2.39,-17,432.74,44.36,601.24,-181,-2.64,6446,0.5,,,,,,,0,0,0
48:08.4,00:00.0,00:00.0,95570,1,2,1,0,AJ네트웍스,880,-103,-8,-11.73,-0.89,-1.3,451.43,29.75,600.62,-1,-55.11,6261,0.74,,,,,,,0,0,0
48:08.4,00:00.0,00:00.0,95570,1,2,1,0,AJ네트웍스,2561,45,48,1.77,1.87,-0.1,447.04,22.22,590.4,102,-698.74,6302,0.71,,,,,,,0,0,0
48:08.4,00:00.0,00:00.0,95570,1,2,1,0,AJ네트웍스,2614,119,145,4.54,5.55,3.62,349.83,31.97,621.8,314,26.01,6604,0.92,,,,,,,0,0,0
48:08.4,00:00.0,00:00.0,95570,1,2,1,0,AJ네트웍스,,,,,,,,,,,,,,,,,,,,0,0,0
48:08.8,00:00.0,00:00.0,6840,1,1,1,0,AK홀딩스,37112,2697,2066,7.27,5.57,13.82,130.54,70.38,1179.2,8070,6.69,64785,0.83,750,1.39,9.15,,,,0,0,0
48:08.8,00:00.0,00:00.0,6840,1,1,1,0,AK홀딩스,37595,1313,574,3.49,1.53,3.38,202.67,50.28,1149.46,2135,16.21,63415,0.55,750,2.17,34.6,,,,0,0,0
48:08.8,00:00.0,00:00.0,6840,1,1,1,0,AK홀딩스,26200,-2216,-2658,-8.46,-10.14,-20.57,233.9,49.24,915.13,-11615,-2.17,51253,0.49,400,1.59,-3.39,,,,0,0,0
48:08.8,00:00.0,00:00.0,6840,1,1,1,0,AK홀딩스,,,,,,,,,,,,,,,,,,,,0,0,0
48:08.8,00:00.0,00:00.0,6840,1,2,1,0,AK홀딩스,5376,-694,-1031,-12.9,-19.17,-15.32,243.22,44.57,974.63,-4486,-2.04,54593,0.34,,,,,,,0,0,0
48:08.8,00:00.0,00:00.0,6840,1,2,1,0,AK홀딩스,6448,-319,-529,-4.94,-8.21,-19.88,234.7,52.36,940.96,-2380,-1.52,52837,0.33,,,,,,,0,0,0
48:08.8,00:00.0,00:00.0,6840,1,2,1,0,AK홀딩스,6437,-857,-256,-13.32,-3.98,-20.57,233.9,49.24,915.13,-1058,-2.17,51253,0.49,,,,,,,0,0,0
48:08.8,00:00.0,00:00.0,6840,1,2,1,0,AK홀딩스,6829,-395,-490,-5.78,-7.17,-18.93,255,46.55,864.54,-2135,-2.65,48796,0.55,,,,,,,0,0,0
48:08.8,00:00.0,00:00.0,6840,1,2,1,0,AK홀딩스,8394,-174,-215,-2.07,-2.56,-12.84,273.04,47.42,846.91,-882,-5.05,47520,0.69,,,,,,,0,0,0
