bat_time,info_date,stock_code,stock_country,vesting_type,vesting_type_detail,stock_name,stock_market_sum,stock_share_total_num,stock_first_price,stock_foreign_share_max,stock_foreign_share_num,stock_foreign_share_percent,stock_maxprice_year,stock_lowprice_year,stock_per,stock_eps,stock_per_guess,stock_eps_guess,stock_pbr,stock_bps,stock_allocation_ratio,stock_similar_per,stock_now,stock_close,stock_open,stock_high,stock_low,stock_volume_share,stock_volume_money,stock_trading_sum_foreign,stock_trading_sum_agency,stock_trading_sum_ant,stock_agency_buy_top1,stock_agency_buy_top1_vol,stock_agency_buy_top2,stock_agency_buy_top2_vol,stock_agency_buy_top3,stock_agency_buy_top3_vol,stock_agency_buy_top4,stock_agency_buy_top4_vol,stock_agency_buy_top5,stock_agency_buy_top5_vol,stock_agency_sell_top1,stock_agency_sell_top1_vol,stock_agency_sell_top2,stock_agency_sell_top2_vol,stock_agency_sell_top3,stock_agency_sell_top3_vol,stock_agency_sell_top4,stock_agency_sell_top4_vol,stock_agency_sell_top5,stock_agency_sell_top5_vol,etc1_string,etc2_string,etc3_string,etc4_string,etc5_string,etc1_int,etc2_int,etc3_int,etc4_int,etc5_int
2021-09-18 09:48:35.306287,2021-09-17 00:00:00.000000,095570,1.0,1.0,0.0,AJ네트웍스,291234674900.0,46822295,1000,46822295,2326643,4.97,7320,3050,26.58,234,N/A,N/A,0.94,6604,3.38,19.11,6220,6220,6070,6220,5920,131104,795,+39735,-11600,-28135.0,제이피모간,45694,미래에셋대우,22549,NH투자증권,11981,신한금융투자,11684,현대차증권,6793,키움증권,25807,한화,11954,NH투자증권,11295,이베스트,10007,흥국증권,10000,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:48:35.561900,2021-09-17 00:00:00.000000,006840,1.0,1.0,0.0,AK홀딩스,359008903100.0,13247561,5000,13247561,744590,5.62,38050,16450,N/A,-6456,N/A,N/A,0.57,47520,1.48,15.30,27100,27100,27400,27600,27100,28884,787,-10737,,-28135.0,유진증권,6248,한국증권,5011,미래에셋대우,4938,키움증권,3320,신한금융투자,1190,제이피모간,10425,키움증권,3326,한국증권,2841,KB증권,2721,삼성,2633,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:48:35.808296,2021-09-17 00:00:00.000000,282330,1.0,1.0,0.0,BGF리테일,3024683550000.0,17283906,1000,17283906,5725275,33.12,193000,115000,21.55,8119,19.00,9069,4.21,41549,1.37,43.47,175000,175000,172000,176000,171500,26279,4574,+6894,-6382,-512.0,메릴린치,3529,제이피모간,3016,모건스탠리,2986,맥쿼리,2685,신한금융투자,2439,모건스탠리,4560,미래에셋대우,2283,한국증권,2087,키움증권,1868,삼성,1579,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:48:36.176235,2021-09-17 00:00:00.000000,027410,1.0,1.0,0.0,BGF,582915257190.0,95716791,1000,95716791,6256174,6.54,8090,3915,11.28,540,N/A,N/A,0.38,16072,1.81,43.47,6090,6090,6180,6210,6090,154799,950,-26209,+5091,21118.0,키움증권,47634,한국증권,19649,대신,14627,삼성,11629,신한금융투자,7385,키움증권,48313,제이피모간,41001,한국증권,13880,NH투자증권,11244,미래에셋대우,8817,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:48:36.444546,2021-09-17 00:00:00.000000,138930,1.0,1.0,0.0,BNK금융지주,2594444558160.0,325935246,5000,325935246,128473621,39.42,8370,4935,3.84,2075,3.00,2317,0.29,27891,4.02,4.55,7960,7960,8000,8030,7930,1571265,12526,-224393,-16185,240578.0,모건스탠리,329218,신영,242601,UBS,137181,키움증권,87490,한국증권,78423,모건스탠리,239364,UBS,204290,제이피모간,135049,신한금융투자,123248,미래에셋대우,113311,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:48:36.713646,2021-09-17 00:00:00.000000,001465,1.0,1.0,0.0,BYC우,38661607500.0,215385,5000,215385,426,0.20,194500,116500,7.19,24974,N/A,N/A,0.32,554944,0.64,7.02,179500,179500,180500,180500,179500,169,30,,,240578.0,KB증권,62,유안타증권,30,삼성,22,케이티비,20,NH투자증권,11,대신,125,삼성,17,NH투자증권,13,키움증권,8,KB증권,4,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:48:37.112205,2021-09-17 00:00:00.000000,001460,1.0,1.0,0.0,BYC,282013672500.0,624615,5000,624615,12024,1.93,498500,204000,18.08,24974,N/A,N/A,0.81,554944,0.24,7.02,451500,451500,452500,452500,444500,74,33,-2,,240578.0,삼성,24,미래에셋대우,18,키움증권,6,NH투자증권,6,메리츠,5,NH투자증권,22,HI증권,20,키움증권,16,삼성,7,유안타증권,3,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:48:37.398439,2021-09-17 00:00:00.000000,001045,1.0,1.0,0.0,CJ우,141263937500.0,2260223,5000,2260223,304188,13.46,67800,44300,42.72,1463,6.00,10187,0.42,148115,3.28,11.60,62500,62500,62500,62600,62000,1576,98,-103,,240578.0,키움증권,961,삼성,269,한국증권,123,신한금융투자,112,미래에셋대우,35,키움증권,827,NH투자증권,306,교보,123,삼성,111,신한금융투자,104,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:48:37.629704,2021-09-17 00:00:00.000000,00104K,1.0,1.0,0.0,CJ4우(전환),351223147200.0,4226512,5000,4226512,205265,4.86,92400,55800,56.80,1463,8.00,10187,0.56,148115,2.41,11.60,83100,83100,82800,83100,81900,5740,474,-2067,+1648,419.0,유안타증권,2598,삼성,980,한국증권,534,신한금융투자,449,미래에셋대우,423,모건스탠리,1807,KB증권,1251,한국증권,838,키움증권,504,유안타증권,466,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-18 09:48:37.913223,2021-09-17 00:00:00.000000,001040,1.0,1.0,0.0,CJ,3034407792000.0,29176998,5000,29176998,5161293,17.69,118500,75700,71.09,1463,10.00,10187,0.70,148115,1.92,11.60,104000,104000,103500,104000,102000,70028,7236,+9103,-8400,-703.0,제이피모간,11587,미래에셋대우,11054,메릴린치,11002,키움증권,5496,한국증권,3730,미래에셋대우,8270,제이피모간,7084,키움증권,6372,한국증권,5836,신한금융투자,5231,,,,,,0.0,0.0,0.0,0.0,0.0
